video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=h6Yg8BLqSuE&pp=ygUTR3JlYXQgV2hlZWwgU2VhdHRsZQ%3D%3D,/@beyondtheskylines1,Beyond The Skylines,"Step Inside The SEATTLE GREAT WHEEL | Seattle, Washington 🇺🇸",3.5K,1 year,"Join me and let's step inside the Seattle Great Wheel. This is one of a kind Ferris Wheel at the Seattle, Washington Waterfront.",2024-01-28 23:20:57.822179
/watch?v=kCjUGzW0PpE&pp=ygUTR3JlYXQgV2hlZWwgU2VhdHRsZQ%3D%3D,/@redromina,Romina's Travels,"Step Inside The Seattle Great Wheel // Seattle, WA",18K,6 years,This episode of the Step Inside... series provides you with facts about the Seattle Great Wheel. Find out just how big the Seattle ...,2024-01-28 23:20:57.824210
/watch?v=5Vqo1vtmhMk&pp=ygUTR3JlYXQgV2hlZWwgU2VhdHRsZQ%3D%3D,/@SeattleChannel21,Seattle Channel,CityStream: Sky-High Dining During the Pandemic,3K,2 years,"The Seattle Great Wheel has added sparkle to the downtown skyline, and during the pandemic, it's also served up sky-high dining ...",2024-01-28 23:20:57.831117
/watch?v=foaIYxO-X08&pp=ygUTR3JlYXQgV2hlZWwgU2VhdHRsZQ%3D%3D,/@_streetexplorer,Street Explorer,Seattle Ferris Wheel at Pier 57 - Seattle Great Wheel,2.8K,2 years,"The Seattle Great Wheel is a 53-meter tall giant Ferris wheel at Pier 57 on Elliott Bay in Seattle, Washington. At an overall height ...",2024-01-28 23:20:57.833013
/watch?v=_5bm20SA0Qw&pp=ygUTR3JlYXQgV2hlZWwgU2VhdHRsZQ%3D%3D,/@Just2GuysCreative,J2G Creative,The Seattle Great Wheel (Full 360) | 4k,27K,8 years,Seattle is such a beauty! Enjoy this epic golden hour shot. Consider subscribing for more super shot sundays! Check out this vlog ...,2024-01-28 23:20:57.834769
/watch?v=RJsLjbSeV6Q&pp=ygUTR3JlYXQgV2hlZWwgU2VhdHRsZQ%3D%3D,/@chenadventures2429,Chen Adventures,Seattle Great Wheel,6.6K,5 years,Going up Seattle's iconic Ferris wheel for our first time!,2024-01-28 23:20:57.849015
/watch?v=_A7EPFL7GK8&pp=ygUTR3JlYXQgV2hlZWwgU2VhdHRsZQ%3D%3D,/@Soundwayz,Sound Wayz,"[4K] Seattle’s Great Wheel, Miners Landing, and Waterfront",1.3K,1 year,"Seattle's Favorite Tourist and Local Spot, The Great Wheel, and Miners Landing. Amazing Clips, People, Views, and Walking Tour ...",2024-01-28 23:20:57.850965
/watch?v=4R4DsqcsVfo&pp=ygUTR3JlYXQgV2hlZWwgU2VhdHRsZQ%3D%3D,/@monkeyrainbow542,Monkey Rainbow,Seattle Great Wheel: Seattle Ferris Wheel at Pier 57 (Spring 2021),5.1K,2 years,Seattle Great Wheel: Seattle Ferris Wheel at Pier 57 ▻ Support us by Using our Creator Code: monkey-rainbow ▻Help me reach ...,2024-01-28 23:20:57.852857
/watch?v=XIeCx9bxBBc&pp=ygUTR3JlYXQgV2hlZWwgU2VhdHRsZQ%3D%3D,/@SharingtheRoad,Sharing the Road,Top 10 Things to Do in Seattle | Seattle Travel Guide,227K,1 year,"Hey there description box reader! If you feel so inclined, please consider buying us a coffee or using one of our affiliate links ...",2024-01-28 23:20:57.855910
/watch?v=5ZJh1S6Rlbo&pp=ygUTR3JlYXQgV2hlZWwgU2VhdHRsZQ%3D%3D,/@WaypointOverland,Waypoint Overland,THE SEATTLE GREAT WHEEL,50,2 years,THE SEATTLE GREAT WHEEL ——————————— CONNECT ——————————— Subscribe!,2024-01-28 23:20:57.857751
