video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=6TZye-behRA&pp=ygURUGlrZSBQbGFjZSBNYXJrZXQ%3D,/@tryguys,The Try Guys,Keith Eats Everything At Pike Place Market,2.2M,7 months,"Keith's back to eat the menu, but this time, it's at Pike Place Market in Seattle, Washington! What will rank as the best of the best ...",2024-01-28 23:16:45.005655
/watch?v=Zb7U7BWL-Eo&pp=ygURUGlrZSBQbGFjZSBNYXJrZXQ%3D,/@scottsdaletravelchick,Scottsdale Travel Chick,"Pike Place Market Visitor Guide - What to See, Do, and Eat",52K,2 years,"Tour guide to the famous Pike Place Market in downtown Seattle. What to see, what to do, and what to eat. Want to Experience ...",2024-01-28 23:16:45.008583
/watch?v=TvfePq94NUg&pp=ygURUGlrZSBQbGFjZSBNYXJrZXQ%3D,/@MarkWiens,Mark Wiens,Pike Place Market - AMERICA'S #1 CHOWDER + Must-Eat Market Tour in Seattle | American Food!,1.6M,5 years,"Pike Place Market is a landmark of #Seattle, and one of the oldest continuously functioning markets in the United States.",2024-01-28 23:16:45.012932
/watch?v=hj4l0IDLxYE&pp=ygURUGlrZSBQbGFjZSBNYXJrZXQ%3D,/@SeattleChannel21,Seattle Channel,Pike Place Market's History,4.5K,2 years,"The story of the Pike Place Market is a work in progress, but the first hundred years are pretty darn interesting. See how the Market ...",2024-01-28 23:16:45.015414
/watch?v=82byORQyTVw&pp=ygURUGlrZSBQbGFjZSBNYXJrZXQ%3D,/@ArwinTours,Arwin Tours,Pike Place Market 🇺🇸 Seattle Washington 4K Walking Tour,14K,11 months,"Pike Place Market is a public market in Seattle, Washington, United States. It opened on August 17, 1907, and is one of the oldest ...",2024-01-28 23:16:45.021086
/watch?v=FkABoOKsXIA&pp=ygURUGlrZSBQbGFjZSBNYXJrZXQ%3D,/@LocalLensSeattle,Local Lens Seattle,Hidden Gems at Pike Place Market!☀️ 🙌🏼 | Local Lens Seattle,16K,9 months,"If you've been to Seattle, you've probably made the stop at the iconic Pike Place Market. Having lived here my entire life I still love ...",2024-01-28 23:16:45.032968
/watch?v=KKcQnqVYZkY&pp=ygURUGlrZSBQbGFjZSBNYXJrZXQ%3D,/@PortMonkeys,Port Monkeys,"Fish Throwing at Pike Place Fish Market in Seattle, Washington",35K,2 years,"We walked to Pike Place in Seattle, Washington before boarding the Carnival Miracle for an Alaska cruise.",2024-01-28 23:16:45.034775
/watch?v=Rmf6oLBZkJ0&pp=ygURUGlrZSBQbGFjZSBNYXJrZXQ%3D,/@LaoOcean,Lao Ocean,Seattle Pike Place Market | Seattle Waterfront Visual Update | Walk & Talk 1-28-24 ☕️✌️,40,16 minutes,"First visit to Pike Place Market in 2024. After coffee at Anchorhead Coffee, Amanda and I stroll the market and see what changes ...",2024-01-28 23:16:45.037805
/watch?v=lkrkWFf5XNY&pp=ygURUGlrZSBQbGFjZSBNYXJrZXQ%3D,/@HeresGoodTravel,Here's Good,"What To EAT in SEATTLE | Cheap Eats, Pike Place Market, Kedai Makan and MORE",11K,1 year,This is our SEATTLE FOOD TOUR! We spent 3 days in Seattle eating and drinking all we could and we found some AMAZING ...,2024-01-28 23:16:45.040478
/watch?v=jgrr5-WZICs&pp=ygURUGlrZSBQbGFjZSBNYXJrZXQ%3D,/@fox13seattle,FOX 13 Seattle,Pike Place Market suing iconic fish throwers | FOX 13 Seattle,13K,4 months,Pike Place Market is in a legal battle with its most iconic vendor. Subscribe to FOX 13 Seattle: ...,2024-01-28 23:16:45.042386
/watch?v=u0Tn4VuswCw&pp=ygURUGlrZSBQbGFjZSBNYXJrZXQ%3D,/@TimLeeLetsGo,Tim Lee,Seattle's Pike Place Market | $35 Lobster Prime Rib Buffet,168K,1 year,"Free shipping to: Canada, United States, Australia, New Zealand, Japan, Taiwan, South Korea, and Singapore @Vessi ...",2024-01-28 23:16:45.068642
/watch?v=R11oAsCsyjo&pp=ygURUGlrZSBQbGFjZSBNYXJrZXQ%3D,/@RiannaRichardsOfficial,Rianna Richards,🇺🇸 Pike Place Market Tour 2023 | Historic Seattle Pike Place Market Walk 2023 | Seattle Tourism,6K,5 months,"Established in downtown Seattle in 1907, “Pike Place Market” is the oldest continuously run public market in the United States of ...",2024-01-28 23:16:45.071496
/watch?v=XCVidQUQSPU&pp=ygURUGlrZSBQbGFjZSBNYXJrZXQ%3D,/@WestCoasters,West Coasters,Let's Visit PIKE PLACE MARKET | All Our Favorite Seattle Treats!!!,6.6K,7 months,"Join us for a day at Pike Place Market in Seattle, WA! In this video, we share all of our absolute favorite foods to grab at the market.",2024-01-28 23:16:45.080488
/watch?v=3D8tAScqvZA&pp=ygURUGlrZSBQbGFjZSBNYXJrZXQ%3D,/@SharingtheRoad,Sharing the Road,Seattle Food Tour | 5 Foods You NEED to Try in Pike Place Market + MORE!,89K,2 years,"Hey there description box reader! If you feel so inclined, please consider buying us a coffee or using one of our affiliate links down ...",2024-01-28 23:16:45.084489
/watch?v=DwU-y7JfTXI&pp=ygURUGlrZSBQbGFjZSBNYXJrZXQ%3D,/@MissMinaOh,Miss Mina,24 HOURS IN SEATTLE 🐟 ft Pike Place Market,981K,4 years,Got 24 hours in Seattle? What is there to eat and do? Today we go on a food marathon in the famous Pike Place Market and ...,2024-01-28 23:16:45.090241
