video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=y0hsl8C7kZw&pp=ygUMU3BhY2UgTmVlZGxl,/@JaredOwen,Jared Owen,What's inside the Space Needle?,1.9M,3 years,"Music: (Soundstripe.com) ""Bahama Mama"" by Mikey Geiger ""Happy Snappy"" Love by New Wave Sounds Made with Blender 2.81, ...",2024-01-28 22:52:58.374331
/watch?v=pe8k6bJKmuE&pp=ygUMU3BhY2UgTmVlZGxl,/@BigRedJourneys,Big Red Journeys,SEATTLE SPACE NEEDLE – FULL TOUR - Seeing Seattle at 600 feet!  Day & Night Views of Seattle,6.2K,5 months,Let's take an elevator up 600 feet into and see Seattle like never before! The world famous and iconic Space Needle is considered ...,2024-01-28 22:52:58.376458
/watch?v=6GsgXohzp8c&pp=ygUMU3BhY2UgTmVlZGxl,/@BlippiBuddies_Meekah,Blippi Buddies: Meekah - Kids TV Shows,Blippi and Meekah Climb to the TOP of the Space Needle,293K,6 months,Blippi and Meekah visit an outdoor playground in Seattle! Oh wow! This playground is right by the Space Needle. Can Blippi and ...,2024-01-28 22:52:58.382284
/watch?v=0ZF4xmgIp3c&pp=ygUMU3BhY2UgTmVlZGxl,/@GeekWire,GeekWire,Seattle's Space Needle Opens Revolving Glass Floor 500 Feet in the Air,117K,5 years,"The Space Needle opens the Loupe, a revolving glass floor 500 feet in the air. Read more at: ...",2024-01-28 22:52:58.386320
/watch?v=Zq5g1CJ_-OQ&pp=ygUMU3BhY2UgTmVlZGxl,/@komonews,KOMO News,"Watch: Space Needle lights up with drone, fireworks and light show to ring in 2024",85K,Streamed 3 weeks,"Happy New Year! T-Mobile's New Year's at the Needle event was a hit to ring in 2024! Watch the epic drone, fireworks, and light ...",2024-01-28 22:52:58.389126
/watch?v=Q0FRHwUqH0o&pp=ygUMU3BhY2UgTmVlZGxl,/@eastlake-skycam,Eastlake Skycam,Seattle New Year's Eve Space Needle Fireworks 2024,4.3K,Streamed 3 weeks,"This is an ""unofficial""/amateur stream from eastlake for NYE 2023/2024. Last year this was the best stream because smoke ...",2024-01-28 22:52:58.391442
/watch?v=EUcVpKfzIRg&pp=ygUMU3BhY2UgTmVlZGxl,/@SmithsonianChannel,Smithsonian Channel,Space Needle Was Designed to Look Very Different,36K,5 years,"While it's hard to imagine Seattle's Space Needle looking any other way, few people know that the iconic 'flying saucer' design ...",2024-01-28 22:53:08.101716
/watch?v=X5MnbpkOQx8&pp=ygUMU3BhY2UgTmVlZGxl,/@Hipfig,Hipfig Travel-Channel,Seattle Space Needle – Helpful Information for Visitors | Seattle Travel Guide Episode #3,60K,3 years,Topics covered in this useful Space Needle travel guide for Seattle tourists are: 1). Seattle Space Needle useful information for the ...,2024-01-28 22:53:08.107516
/watch?v=zPxVwpwoM2o&pp=ygUMU3BhY2UgTmVlZGxl,/@ActionKid,ActionKid,Riding the Seattle Monorail from the Space Needle to Downtown Seattle,26K,8 months,"The Seattle Monorail is a public transit system which runs as a single elevated train line from the Seattle Center, where the Space ...",2024-01-28 22:53:08.112039
/watch?v=GwEQrCjXuXE&pp=ygUMU3BhY2UgTmVlZGxl,/@4kUrbanLife,4K Urban Life,Space Needle at Night and Seattle Night View - 4K Ultra HD Urban Cityscapes Relaxation Video,133K,5 years,"Seattle is a pride of the Pacific Northwest. It's famous for its unique views, There are tons of tourist attractions and things to do in ...",2024-01-28 22:53:08.115680
/watch?v=1mTMmJ2lnlM&pp=ygUMU3BhY2UgTmVlZGxl,/@Blippi,Blippi - Educational Videos for Kids,Blippi and Meekah Visit the Space Needle Playground! Educational Videos for Kids,1.3M,10 months,Thanks for watching this Blippi play and learn video with Blippi's songs for toddlers and videos for toddlers. More educational fun ...,2024-01-28 22:53:08.126656
/watch?v=3Ow0ET-ob3E&pp=ygUMU3BhY2UgTmVlZGxl,/@KING5Seattle,KING 5 Seattle,Watch: Seattle’s virtual New Year’s at the Needle show welcomes 2021,1.3M,3 years,"The show featured a first-ever virtual display from the Space Needle. The virtual display, which a Seattle-based entrepreneur ...",2024-01-28 22:53:08.130885
/watch?v=4gHRAnCcn2I&pp=ygUMU3BhY2UgTmVlZGxl,/@KING5Seattle,KING 5 Seattle,The tallest tower in North America dwarfs the Seattle Space Needle - KING 5 Evening,6.6K,4 years,From 14-hundred feet up you can see the curvature of the earth!!,2024-01-28 22:53:08.134949
/watch?v=v87qPjs8L-A&pp=ygUMU3BhY2UgTmVlZGxl,/@DaDailyBread,DaDailyBread,Seattle's Space Needle,82K,11 years,The history of the Seattle Space Needle.,2024-01-28 22:53:08.139176
/watch?v=tUyC9l6DCZU&pp=ygUMU3BhY2UgTmVlZGxl,/@fox13seattle,FOX 13 Seattle,Space Needle will go back to 'Astronaut White' | FOX 13 Seattle,17K,8 months,"The Space Needle is getting a new paint job and going back to ""Astronaut White."" Subscribe to FOX 13 Seattle: ...",2024-01-28 22:53:08.143558
/watch?v=JSKCcTRGlDk&pp=ygUMU3BhY2UgTmVlZGxl,/@TheDailyWoo,TheDailyWoo,Inside The MoPop & Going Up To Top Of Seattle Space Needle - Museum Of Pop Culture is Incredible,55K,11 months,MoPop Seattle and Space Needle.,2024-01-28 22:53:08.157745
/watch?v=ymXMI_25JE0&pp=ygUMU3BhY2UgTmVlZGxl,/@tjfun71,TJ fun 71,Seattle's Iconic Space Needle! Take a tour inside!,1.9K,7 months,We explored the Space Needle in Seattle while we stayed there after our Alaska cruise on Princess Discovery. Seeing the ...,2024-01-28 22:53:08.159922
/watch?v=RK-4H6oZ6Uc&pp=ygUMU3BhY2UgTmVlZGxl,/@KING5Seattle,KING 5 Seattle,The Space Needle: Remaking an Icon - Part 1,23K,5 years,"From the people who shaped it, to the ones who made it. Learn how the Space Needle's 100 million dollar makeover was ...",2024-01-28 22:53:08.162774
/watch?v=Rcm7GbrAfxk&pp=ygUMU3BhY2UgTmVlZGxl,/@DroneWorldbelo,Drone World,SPACE NEEDLE AERIAL DRONE FOOTAGE SEATTLE,49K,4 years,"The Space Needle is an observation tower in Seattle, Washington, United States. It is a landmark of the Pacific Northwest and an ...",2024-01-28 22:53:08.176201
/watch?v=FRWDlbDKmsc&pp=ygUMU3BhY2UgTmVlZGxl,/@TravelTouristVideos,TravelTouristVideos,"Space Needle Seattle Tour, Elevator Ride & Views from the Top (HD)",64K,6 years,We visited the Space Needle in Seattle after our Alaska cruise in June. The elevator rides were quick though the operator ...,2024-01-28 22:53:08.179398
